root,IndicativePresent_3p_s,IndicativePresent_3p_p,IndicativePresent_2p_s,IndicativePresent_1p_s,IndicativePresent_1p_p,IndicativePreterite_3p_s,IndicativePreterite_3p_p,IndicativePreterite_2p_s,IndicativePreterite_1p_s,IndicativePreterite_1p_p,PerfectPresent_3p_s,IndicativeImperfect_3p_s,IndicativeImperfect_3p_p,IndicativeImperfect_2p_s,IndicativeImperfect_1p_s,IndicativeImperfect_1p_p,IndicativeFuture_3p_s,IndicativeFuture_3p_p,IndicativeFuture_2p_s,IndicativeFuture_1p_s,IndicativeFuture_1p_p
pensar,,,,,,,,,,,,,,,,,,,,,
preferir,,,,,,,,,,,,,,,,,,,,,
vender,,,,,,,,,,,,,,,,,,,,,
besar,besa,besan,besas,beso,besamos,,,,,,,,,,,,,,,,
recordar,,,,,,,,,,,,,,,,,,,,,
sentir,,,,,,,,,,,,,,,,,,,,,
tocar,,,,,,,,,,,,,,,,,,,,,
leer,,,,,,,,,,,leído,,,,,,leeré,leerén,leerés,leerÃ©,leeremos
enterar,,,,,,,,,,,enterado,,,,,,,,,,
gastar,,,,,,,,,,,gastado,,,,,,,,,,
interesar,interesa,interesan,interesas,intereso,interesamos,,,,,,interesado,,,,,,,,,,
guiar,,,,,,,,,,,guiado,,,,,,,,,,
aconsejar,,,,,,,,,,,aconsejado,,,,,,,,,,
aprender,,,,,,,,,,,aprendido,,,,,,,,,,
quedar,queda,quedan,quedas,quedo,quedamos,,,,,,,,,,,,,,,,
llorar,,,,,,lloró,lloraron,lloraste,lloré,lloramos,,lloraba,lloraban,llorabas,lloraba,llorébamos,,,,,
oir,,,,,,oyó,oyeron,oíste,oyó,oímos,,,,,,,,,,,
bajar,,,,,,,,,,,bajado,,,,,,,,,,
prometir,,,,,,prometió,prometieron,prometiste,prometí,prometimos,prometido,,,,,,,,,,
contestar,,,,,,,,,,,,,,,,,,,,,
esperar,,,,,,,,,,,,,,,,,,,,,
soñar,,,,,,,,,,,,,,,,,,,,,
aumentar,aumenta,aumentan,aumentas,aumento,aumentamos,aumentó,aumentaron,aumentaste,aumenté,aumentamos,aumentado,aumentaba,aumentaban,aumentabas,aumentaba,aumentébamos,aumentaré,aumentarén,aumentarés,aumentaré,aumentaremos
consultar,,,,,,,,,,,,,,,,,,,,,
decidir,,,,,,,,,,,,,,,,,,,,,
participar,,,,,,,,,,,,,,,,,,,,,
avisar,,,,,,,,,,,,,,,,,,,,,
pasar,,,,,,,,,,,,,,,,,,,,,
mirar,mira,miran,miras,miro,miramos,miró,miraron,miraste,miré,miramos,mirado,miraba,miraban,mirabas,miraba,mirébamos,miraré,mirarén,mirarés,mirarÃ©,miraremos
odiar,,,,,,,,,,,,,,,,,,,,,
remover,,,,,,,,,,,removido,,,,,,,,,,
desviar,,,,,,,,,,,,,,,,,,,,,
poder,,,,,,,,,,,,,,,,,podrá,podrán,podrás,podré,podremos
dedicar,dedica,dedican,dedicas,dedico,dedicamos,,,,,,,,,,,,,,,,
