root,indicative_present_2p_s,indicative_present_1p_s,indicative_present_1p_p,indicative_present_3p_s,indicative_present_3p_p,indicative_preterite_2p_s,indicative_preterite_1p_s,indicative_preterite_1p_p,indicative_preterite_3p_s,indicative_preterite_3p_p,indicative_present_perfect_2p_s,indicative_present_perfect_1p_s,indicative_present_perfect_1p_p,indicative_present_perfect_3p_s,indicative_present_perfect_3p_p,indicative_imperfect_2p_s,indicative_imperfect_1p_s,indicative_imperfect_1p_p,indicative_imperfect_3p_s,indicative_imperfect_3p_p,indicative_future_2p_s,indicative_future_1p_s,indicative_future_1p_p,indicative_future_3p_s,indicative_future_3p_p,indicative_past_perfect_2p_s,indicative_past_perfect_1p_s,indicative_past_perfect_1p_p,indicative_past_perfect_3p_s,indicative_past_perfect_3p_p
saludar,saludas,saludo,saludamos,saluda,saludan,saludaste,saludé,saludamos,saludó,saludaron,has saludado,he saludado,hemos saludado,ha saludado,han saludado,saludabas,saludaba,saludábamos,saludaba,saludaban,saludarás,saludaré,saludaremos,saludará,saludarán,habías saludado,había saludado,habíamos saludado,había saludado,habían saludado
comprar,compras,compro,compramos,compra,compran,compraste,compré,compramos,compró,compraron,has comprado,he comprado,hemos comprado,ha comprado,han comprado,comprabas,compraba,comprábamos,compraba,compraban,comprarás,compraré,compraremos,comprará,comprarán,habías comprado,había comprado,habíamos comprado,había comprado,habían comprado
tomar,tomas,tomo,tomamos,toma,toman,tomaste,tomé,tomamos,tomó,tomaron,has tomado,he tomado,hemos tomado,ha tomado,han tomado,tomabas,tomaba,tomábamos,tomaba,tomaban,tomarás,tomaré,tomaremos,tomará,tomarán,habías tomado,había tomado,habíamos tomado,había tomado,habían tomado
conocer,conoces,conoco,conocemos,conoce,conocen,conociste,conocí,conocimos,conoció,conocieron,has conocido,he conocido,hemos conocido,ha conocido,han conocido,conocías,conocía,conocíamos,conocía,conocían,conocerás,conoceré,conoceremos,conocerá,conocerán,habías conocido,había conocido,habíamos conocido,había conocido,habían conocido
encontrar,encuentras,encuentro,encontramos,encuentra,encuentran,encontraste,encontré,encontramos,encontró,encontraron,has encontrado,he encontrado,hemos encontrado,ha encontrado,han encontrado,encontrabas,encontraba,encontrábamos,encontraba,encontraban,encontrarás,encontraré,encontraremos,encontrará,encontrarán,habías encontrado,había encontrado,habíamos encontrado,había encontrado,habían encontrado
divertir,divertes,diverto,divertimos,diverte,diverten,divertiste,divertí,divertimos,divertió,divertieron,has divertido,he divertido,hemos divertido,ha divertido,han divertido,divertías,divertía,divertíamos,divertía,divertían,divertirás,divertiré,divertiremos,divertirá,divertirán,habías divertido,había divertido,habíamos divertido,había divertido,habían divertido
deber,debes,debo,debemos,debe,deben,debiste,debí,debimos,debió,debieron,has debido,he debido,hemos debido,ha debido,han debido,debías,debía,debíamos,debía,debían,deberás,deberé,deberemos,deberá,deberán,habías debido,había debido,habíamos debido,había debido,habían debido
encantar,encantas,encanto,encantamos,encanta,encantan,encantaste,encanté,encantamos,encantó,encantaron,has encantado,he encantado,hemos encantado,ha encantado,han encantado,encantabas,encantaba,encantábamos,encantaba,encantaban,encantarás,encantaré,encantaremos,encantará,encantarán,habías encantado,había encantado,habíamos encantado,había encantado,habían encantado
discutir,discutes,discuto,discutimos,discute,discuten,discutiste,discutí,discutimos,discutió,discutieron,has discutido,he discutido,hemos discutido,ha discutido,han discutido,discutías,discutía,discutíamos,discutía,discutían,discutirás,discutiré,discutiremos,discutirá,discutirán,habías discutido,había discutido,habíamos discutido,había discutido,habían discutido
elegir,eleges,elego,elegimos,elege,elegen,elegiste,elegí,elegimos,elegió,elegieron,has elegido,he elegido,hemos elegido,ha elegido,han elegido,elegías,elegía,elegíamos,elegía,elegían,elegirás,elegiré,elegiremos,elegirá,elegirán,habías elegido,había elegido,habíamos elegido,había elegido,habían elegido
nacer,naces,naco,nacemos,nace,nacen,naciste,nací,nacimos,nació,nacieron,has nacido,he nacido,hemos nacido,ha nacido,han nacido,nacías,nacía,nacíamos,nacía,nacían,nacerás,naceré,naceremos,nacerá,nacerán,habías nacido,había nacido,habíamos nacido,había nacido,habían nacido
mandar,mandas,mando,mandamos,manda,mandan,mandaste,mandé,mandamos,mandó,mandaron,has mandado,he mandado,hemos mandado,ha mandado,han mandado,mandabas,mandaba,mandábamos,mandaba,mandaban,mandarás,mandaré,mandaremos,mandará,mandarán,habías mandado,había mandado,habíamos mandado,había mandado,habían mandado
escribir,escribes,escribo,escribimos,escribe,escriben,escribiste,escribí,escribimos,escribió,escribieron,has escrito,he escrito,hemos escrito,ha escrito,han escrito,escribías,escribía,escribíamos,escribía,escribían,escribirás,escribiré,escribiremos,escribirá,escribirán,habías escrito,había escrito,habíamos escrito,había escrito,habían escrito
beber,bebes,bebo,bebemos,bebe,beben,bebiste,bebí,bebimos,bebió,bebieron,has bebido,he bebido,hemos bebido,ha bebido,han bebido,bebías,bebía,bebíamos,bebía,bebían,beberás,beberé,beberemos,beberá,beberán,habías bebido,había bebido,habíamos bebido,había bebido,habían bebido
coger,coges,cogo,cogemos,coge,cogen,cogiste,cogí,cogimos,cogió,cogieron,has cogido,he cogido,hemos cogido,ha cogido,han cogido,cogías,cogía,cogíamos,cogía,cogían,cogerás,cogeré,cogeremos,cogerá,cogerán,habías cogido,había cogido,habíamos cogido,había cogido,habían cogido
caminar,caminas,camino,caminamos,camina,caminan,caminaste,caminé,caminamos,caminó,caminaron,has caminado,he caminado,hemos caminado,ha caminado,han caminado,caminabas,caminaba,caminábamos,caminaba,caminaban,caminarás,caminaré,caminaremos,caminará,caminarán,habías caminado,había caminado,habíamos caminado,había caminado,habían caminado
dejar,dejas,dejo,dejamos,deja,dejan,dejaste,dejé,dejamos,dejó,dejaron,has dejado,he dejado,hemos dejado,ha dejado,han dejado,dejabas,dejaba,dejábamos,dejaba,dejaban,dejarás,dejaré,dejaremos,dejará,dejarán,habías dejado,había dejado,habíamos dejado,había dejado,habían dejado
preparar,preparas,preparo,preparamos,prepara,preparan,preparaste,preparé,preparamos,preparó,prepararon,has preparado,he preparado,hemos preparado,ha preparado,han preparado,preparabas,preparaba,preparábamos,preparaba,preparaban,prepararás,prepararé,prepararemos,preparará,prepararán,habías preparado,había preparado,habíamos preparado,había preparado,habían preparado
prestar,prestas,presto,prestamos,presta,prestan,prestaste,presté,prestamos,prestó,prestaron,has prestado,he prestado,hemos prestado,ha prestado,han prestado,prestabas,prestaba,prestábamos,prestaba,prestaban,prestarás,prestaré,prestaremos,prestará,prestarán,habías prestado,había prestado,habíamos prestado,había prestado,habían prestado
pensar,piensas,pienso,pensamos,piensa,piensan,pensaste,pensé,pensamos,pensó,pensaron,has pensado,he pensado,hemos pensado,ha pensado,han pensado,pensabas,pensaba,pensábamos,pensaba,pensaban,pensarás,pensaré,pensaremos,pensará,pensarán,habías pensado,había pensado,habíamos pensado,había pensado,habían pensado
preferir,preferes,prefero,preferimos,prefere,preferen,preferiste,preferí,preferimos,preferió,preferieron,has preferido,he preferido,hemos preferido,ha preferido,han preferido,preferías,prefería,preferíamos,prefería,preferían,preferirás,preferiré,preferiremos,preferirá,preferirán,habías preferido,había preferido,habíamos preferido,había preferido,habían preferido
vender,vendes,vendo,vendemos,vende,venden,vendiste,vendí,vendimos,vendió,vendieron,has vendido,he vendido,hemos vendido,ha vendido,han vendido,vendías,vendía,vendíamos,vendía,vendían,venderás,venderé,venderemos,venderá,venderán,habías vendido,había vendido,habíamos vendido,había vendido,habían vendido
besar,besas,beso,besamos,besa,besan,besaste,besé,besamos,besó,besaron,has besado,he besado,hemos besado,ha besado,han besado,besabas,besaba,besábamos,besaba,besaban,besarás,besaré,besaremos,besará,besarán,habías besado,había besado,habíamos besado,había besado,habían besado
